"vehicle_id","上牌日期","车龄","行驶里程","车辆评分","车辆评级","成交日期","成交价格","业务类型","品牌","车系","车型","城市","是否火烧","是否水泡","是否事故","level_id","力扬指导价格"
470886,2017-05-31,8,14.0,"30",C,2025-10-26,18100,YL,日产,蓝鸟,日产 蓝鸟 2016款 1.6 无级 智酷版,海口市,否,是,否,CDN0116C0002,"13.19"
477601,2013-04-24,12,12.3,"0n",ull,2025-10-26,3200,YL,雪铁龙,爱丽舍,雪铁龙 爱丽舍-三厢 2013款 1.6 手动 CNG科技型,石家庄市,否,否,否,CDC0516M0005,"8.48"
477552,2010-11-23,15,20.0,"0n",ull,2025-10-26,3500,YL,日产,逍客,日产 逍客 2010款 2.0 无级 20X 雷 两驱,常德市,否,否,否,CDN0820C0017,"18.88"
477697,2016-04-19,9,19.9,"60",B,2025-10-27,20000,YL,大众,速腾,大众 速腾 2015款 1.6 手动 舒适型,郑州市,否,否,否,CFV0516M0055,"13.88"
476635,2019-01-23,6,18.2,"60",D,2025-10-26,18200,YL,比亚迪,宋,比亚迪 宋MAX 2018款 1.5TID 双离合 智联精英型6座,无锡市,否,否,否,CBY1815D0037,"10.99"
476662,2015-08-10,10,24.98,"50",C,2025-10-26,38000,YL,丰田,RAV4,丰田 RAV4 2015款 2.5 手自一体 四驱豪华版,上海市,否,否,否,CFT1225A0008,"25.28"
476420,2017-12-28,8,5.6,"60",D,2025-10-26,8800,YL,东南,DX7,东南 DX7 2018款 1.5T 手动 豪华型,上海市,否,否,是,CSC1015M0030,"11.99"
477786,2009-09-27,16,20.0,"0n",ull,2025-10-26,4600,YL,丰田,,丰田 卡罗拉 2007款 1.6 自动 GL,绍兴市,否,否,否,CFT0716A0001,"14.48"
477737,2010-09-27,15,20.0,"0n",ull,2025-10-26,4400,YL,马自达,,马自达 马自达6 2008款 2.0 手自一体 时尚版,绍兴市,否,否,否,CMZ0120A0019,"17.98"
476249,2016-02-19,9,12.0,"30",D,2025-10-26,15100,YL,马自达,马自达6,马自达 马自达6 2015款 2.0 手自一体 经典型,福州市,否,否,否,CMZ0120A0098,"13.98"
475280,2011-07-18,14,14.9,"50",D,2025-10-26,3100,YL,大众,捷达,大众 捷达 2011款 1.6 手动 纪念版,昆明市,否,否,否,CFV0116M0172,"8.88"
477246,2017-11-10,8,29.9,"30",D,2025-10-27,10000,YL,风行,菱智,风行 菱智M5L 2017款 1.6 手动 标准型7座,北京市,否,否,是,CDX0116M0104,"7.29"
476059,2017-10-10,8,11.8,"30",A,2025-10-26,8000,YL,吉利,帝豪,吉利 帝豪-三厢 2017款 1.5 手动 百万款时尚型,石家庄市,否,否,否,CGE0715M0027,"6.98"
477849,2010-12-28,15,15.0,"0n",ull,2025-10-27,2000,YL,风神,S30,风神 S30 2009款 1.6 手动 尊雅型,青岛市,否,否,否,CDF0216M0002,"7.58"
477628,2008-05-20,17,13.15,"0n",ull,2025-10-26,3600,YL,现代,伊兰特,现代 伊兰特-三厢 2007款 1.6 手动 豪华型,台州市,否,否,否,CBH0216M0017,"11.48"
474746,2007-11-12,18,20.0,"0n",ull,2025-10-26,5700,YL,马自达,马自达6,马自达 马自达6 2006款 2.0 手自一体 超豪华版,宁波市,否,否,否,CMZ0120A0002,"20.98"
477689,2017-01-12,8,9.0,"60",C,2025-10-27,31100,YL,现代,,现代 途胜 2015款 1.6T 双离合 GLS 两驱智能型,青岛市,否,否,否,CBH0316D0002,"17.99"
477222,2013-12-18,12,13.4,"60",D,2025-10-27,8200,YL,大众,捷达,大众 捷达 2013款 1.6 自动 舒适型,烟台市,否,否,否,CFV0116A0037,"10.83"
477249,2010-07-19,15,16.08,"60",D,2025-10-27,14300,YL,日产,逍客,日产 逍客 2010款 2.0 无级 20X 雷 两驱,北京市,否,否,是,CDN0820C0017,"18.88"
477244,2019-12-13,6,44.1,"60",C,2025-10-27,25100,YL,日产,,日产 轩逸经典 2019款 1.6 无级 XE 舒适版,北京市,否,否,否,CDN0416C0071,"10.86"
467339,2014-06-11,11,12.1,"60",C,2025-10-27,30400,YL,日产,奇骏,日产 奇骏 2014款 2.0 无级 XL-NAVI 两驱智领版,青岛市,否,否,否,CDN1020C0016,"20.98"
472406,2013-01-25,12,7.2,"50",B,2025-10-27,5100,YL,标致,"408",标致 408 2013款 1.6 手自一体 舒适版,泉州市,否,否,否,CDP0216A0001,"13.69"
464634,2012-08-03,13,7.1,"50",D,2025-10-27,5000,YL,标致,"408",标致 408 2011款 2.0 手自一体 舒适版,泉州市,否,否,是,CSP0420A0005,"14.19"
459827,2006-08-04,19,23.0,"50",D,2025-10-27,3500,YL,丰田,花冠,丰田 花冠 2004款 1.8 手动 GLX-i,泉州市,否,否,是,CFT0618M0002,"17.88"
473575,2015-04-16,10,6.5,"60",C,2025-10-27,7800,YL,奔腾,X80,奔腾 X80 2015款 1.8T 手自一体 豪华型,南阳市,否,否,是,CBE0418A0001,"15.18"
477303,2015-12-26,10,23.83,"60",B,2025-10-27,30900,YL,日产,天籁,日产 天籁 2015款 2.0 无级 XL Upper 欧冠科技版,西安市,否,否,否,CDN0320C0057,"19.54"
477982,2019-01-23,6,7.93,"80",B,2025-10-27,58000,YL,日产,天籁,日产 天籁 2018款 2.0 无级 XL 智进版,中山市,否,否,否,CDN0320C0077,"18.68"
472308,2011-07-15,14,13.02,"60",B,2025-10-27,4000,YL,日产,阳光,日产 阳光 2011款 1.5 手动 XL 豪华版,深圳市,否,否,否,CDN0215M0002,"9.28"
474352,2014-11-26,11,25.12,"60",D,2025-10-27,3500,YL,现代,瑞纳,现代 瑞纳-三厢 2010款 1.4 手动 GS 舒适型,深圳市,否,否,否,CBH0914M0002,"7.89"
475417,2012-11-21,13,13.43,"50",C,2025-10-27,15000,YL,大众,速腾,大众 速腾 2012款 1.6 手自一体 时尚版,唐山市,否,否,否,CFV0516A0028,"14.38"
470763,2014-10-17,11,25.8,"60",C,2025-10-27,6000,YL,比亚迪,M6,比亚迪 M6 2013款 2.4 手动 尊贵型,青岛市,否,否,否,CBY0824M0003,"13.59"
475454,2015-10-15,10,9.12,"50",C,2025-10-27,10000,YL,吉利,GX7,吉利 GX7 2015款 1.8 手动 精英型,西安市,否,否,否,CGE0818M0006,"8.99"
475387,2013-11-12,12,11.85,"80",A,2025-10-27,11000,YL,雪铁龙,世嘉,雪铁龙 世嘉-三厢 2013款 1.6 手动 品尚型,西安市,否,否,否,CDC0116M0004,"10.78"
473992,2014-09-23,11,7.8,"60",B,2025-10-27,12000,YL,标致,"508",标致 508 2013款 2.0 手自一体 两周年纪念天窗经典版,合肥市,否,否,否,CDP0120A0006,"18.17"
478269,2009-07-24,16,15.0,"0n",ull,2025-10-27,3100,YL,现代,伊兰特,现代 伊兰特-三厢 2007款 1.6 手动 舒适型,青岛市,否,否,否,CBH0216M0023,"8.98"
477989,2015-07-14,10,8.7,"60",B,2025-10-27,26500,YL,大众,,大众 速腾 2015款 1.4TSI 手动 230TSI 豪华型,青岛市,否,否,否,CFV0514M0035,"15.68"
478313,2013-01-15,12,11.4,"60",B,2025-10-27,4000,YL,大众,捷达,大众 捷达 2012款 1.6 手动 前卫,威海市,否,否,否,CFV0116M0180,"8.88"
474891,2014-05-28,11,12.8,"50",D,2025-10-27,24600,YL,现代,瑞纳,现代 瑞纳 2014款 1.4 自动 GLS 智能型,西安市,否,否,否,CBH0914A0078,"8.69"
474848,2018-08-14,7,10.1,"80",D,2025-10-27,29000,YL,吉利,帝豪,吉利 帝豪-三厢 2018款 1.5 手动 向上互联版,西安市,否,否,否,CGE0715M0042,"8.08"
478417,2009-07-02,16,14.1,"60",B,2025-10-27,3900,YL,标致,"307",标致 307-三厢 2007款 1.6 手动 舒适版,烟台市,否,否,否,CSP0116M0128,"10.98"
469372,2016-10-20,9,12.1,"60",C,2025-10-27,31700,YL,大众,高尔夫,大众 高尔夫7 2016款 1.4TSI 双离合 230TSI 舒适型,深圳市,否,否,否,CFV0314D0045,"15.49"
474978,2018-04-02,7,4.02,"50",C,2025-10-27,55000,YL,大众,高尔夫,大众 高尔夫7 2018款 1.2TSI 双离合 180TSI 舒适型,西安市,否,否,否,CFV0312D0008,"15.08"
469206,2016-05-27,9,7.2,"80",A,2025-10-27,48100,YL,丰田,RAV4,丰田 RAV4 2015款 2.0 无级 两驱都市版,深圳市,否,否,否,CFT1220C0007,"19.38"
475079,2015-12-31,10,15.0,"60",B,2025-10-27,28400,YL,现代,胜达,现代 新胜达 2015款 2.0T 手自一体 GLS 四驱智能型5座,济南市,否,否,否,CBH1120A0057,"24.98"
477448,2018-08-30,7,16.0,"50",B,2025-10-27,14100,YL,长城,风骏,长城 风骏5 2017款 2.0T 手动 欧洲版两驱进取型大双排,济南市,否,否,否,CGW1120M0089,"8.88"
478266,2019-06-12,6,13.0,"50",C,2025-10-27,12600,YL,吉利,帝豪GL,吉利 帝豪GL 2019款 1.4T 无级 精英智享版,泸州市,否,否,否,CGE0714C0001,"10.08"
478517,2016-09-19,9,15.5,"80",B,2025-10-27,12200,YL,大众,捷达,大众 捷达 2015款 1.4 手动 质惠版时尚型,沈阳市,否,否,否,CFV0114M0021,"7.99"
478549,2014-07-22,11,9.6,"50",B,2025-10-28,8900,YL,奔腾,X80,奔腾 X80 2013款 2.0 手自一体 豪华型,长春市,否,否,否,CBE0420A0002,"14.58"
474700,2011-07-19,14,20.3,"60",D,2025-10-27,5000,YL,日产,骊威,日产 骊威 2010款 1.6 手动 劲悦版 GI 全能型,菏泽市,否,否,否,CDN0916M0040,"8.58"
467955,2021-06-11,4,6.38,"80",B,2025-10-27,69300,YL,日产,天籁,日产 天籁 2021款 2.0 无级 XL 舒适版,北京市,否,否,否,CDN0320C0117,"18.78"
468694,2015-06-15,10,21.35,"30",D,2025-10-27,20000,YL,现代,索纳塔,现代 第九代索纳塔 2015款 1.6TGDI 双离合 GS 时尚型,绍兴市,否,否,否,CBH0116D0001,"17.98"
475646,2017-12-07,8,9.44,"60",A,2025-10-27,11100,YL,吉利,远景X3,吉利 远景X3 2017款 1.5 自动 精英型,深圳市,否,否,否,CGE1915A0001,"6.19"
476058,2018-11-26,7,10.1,"60",B,2025-10-27,29300,YL,大众,宝来,大众 宝来 2019款 1.5 手动 舒适型,成都市,否,否,否,CFV0215M0006,"12.48"
472918,2014-09-02,11,14.09,"50",B,2025-10-27,20000,YL,大众,速腾,大众 速腾 2014款 1.6 手自一体 舒适型,成都市,否,否,否,CFV0516A0040,"15.08"
478754,2025-03-05,0,0.5,"80",B,2025-10-27,73100,YL,吉利,星瑞,吉利 星瑞 2023款 1.5TD 双离合 昆仑版,自贡市,否,否,否,CGE3115D0002,"11.47"
478608,2006-12-20,19,15.5,"0n",ull,2025-10-27,3600,YL,标致,"307",标致 307-三厢 2006款 2.0 手动 XS 天窗版,石家庄市,否,否,否,CSP0120M0080,"13.78"
476586,2019-11-08,6,11.23,"60",B,2025-10-27,35800,YL,日产,蓝鸟,日产 蓝鸟 2019款 1.6 无级 智联智酷版,成都市,否,否,否,CDN0116C0035,"13.19"
470590,2016-10-24,9,8.82,"50",B,2025-10-27,4600,YL,吉利,帝豪,吉利 帝豪-三厢 2017款 1.3T 无级 百万款向上版,成都市,否,否,否,CGE0713C0017,"9.78"
457991,2020-09-04,5,5.5,"60",B,2025-10-28,98500,YL,奥迪,Q3,奥迪 Q3 2020款 1.4TFSI 双离合 35TFSI 时尚动感型,大连市,否,否,否,CFA0614D0044,"28.68"
475312,2019-12-18,6,10.4,"50",C,2025-10-27,32500,YL,日产,轩逸,日产 轩逸经典 2019款 1.6 无级 XL 豪华版,南昌市,否,否,否,CDN0416C0072,"11.86"
479028,2011-11-24,14,9.16,"0n",ull,2025-10-27,4000,YL,日产,骊威,日产 骊威 2008款 1.6 手动 GT 炫能型,石家庄市,否,否,否,CDN0916M0013,"9.68"
