sample_idx,family_curve,allow_curve_fallback_curve,vehicle_name,brand,series,brand_series,grade,years,mileage_wan,city,actual_price,price_seg,age_seg,energy_type,mileage_bucket,price_extreme_bucket,success_curve,error_message_curve,new_price_curve,predicted_price_curve,residual_rate_curve,c2b_low_curve,c2b_high_curve,b2b_low_curve,b2b_high_curve,hit_c2b_curve,hit_b2b_curve,abs_error_curve,abs_pct_error_curve,debug_model_used_curve,debug_model_name_curve,debug_model_type_curve,debug_model_family_curve,debug_final_model_family_curve,debug_requested_model_family_curve,debug_fallback_triggered_curve,debug_fallback_reason_curve,family_lightgbm,allow_curve_fallback_lightgbm,success_lightgbm,error_message_lightgbm,new_price_lightgbm,predicted_price_lightgbm,residual_rate_lightgbm,c2b_low_lightgbm,c2b_high_lightgbm,b2b_low_lightgbm,b2b_high_lightgbm,hit_c2b_lightgbm,hit_b2b_lightgbm,abs_error_lightgbm,abs_pct_error_lightgbm,debug_model_used_lightgbm,debug_model_name_lightgbm,debug_model_type_lightgbm,debug_model_family_lightgbm,debug_final_model_family_lightgbm,debug_requested_model_family_lightgbm,debug_fallback_triggered_lightgbm,debug_fallback_reason_lightgbm
11,curve,True,"中升车源
日产/轩逸/2012款 1.6 自动 XE舒适版经典款","中升车源
日产",轩逸,"中升车源
日产-轩逸",中,13.33,11.4383,深圳,1.24,1-3万,>10年,燃油,高里程,中间价,False,无法预测：无适用模型且无相似车辆数据,0.0,,,,,,,False,False,,,,,,,,,False,,lightgbm,False,False,无法预测：无适用模型且无相似车辆数据,0.0,,,,,,,False,False,,,,,,,,,False,
12,curve,True,宝马/3系/2016款 2.0T 自动 320Li进取型,宝马,3系,宝马-3系,中,9.75,16.0374,东莞,5.3,5-10万,8-10年,燃油,高里程,中间价,True,,43.08,5.67,0.1317,4.96,5.91,5.16,6.16,True,True,0.3700000000000001,6.981132075471701,brand_series,宝马-3系,Power(segmented),curve,curve,curve,False,,lightgbm,False,True,,43.08,5.1,0.1185,4.45,5.33,4.64,5.55,True,True,0.20000000000000018,3.7735849056603805,brand_series,宝马-3系,LightGBM,lightgbm,lightgbm,lightgbm,False,
13,curve,True,比亚迪/宋Pro/2019款 1.5T 自动 精英型,比亚迪,宋Pro,比亚迪-宋Pro,中,5.67,7.1094,广州,3.76,3-5万,5-8年,燃油,低里程,中间价,True,,9.98,2.36,0.2367,2.02,2.46,2.13,2.59,False,False,1.4,37.234042553191486,car_type,SUV-紧凑型车-国产,Exponential,curve,curve,curve,False,,lightgbm,False,True,,9.98,2.44,0.2441,2.08,2.53,2.19,2.67,False,False,1.3199999999999998,35.1063829787234,car_type,SUV-紧凑型车-国产,LightGBM,lightgbm,lightgbm,lightgbm,False,
14,curve,True,丰田/雷凌/2022款 TNGA 1.5L CVT精英版,丰田,雷凌,丰田-雷凌,中,3.42,9.4189,长沙,3.65,3-5万,3-5年,燃油,低里程,中间价,True,,13.18,4.64,0.3517,4.04,4.84,4.21,5.05,False,False,0.9899999999999998,27.12328767123287,brand_series,丰田-雷凌,Power(segmented),curve,curve,curve,False,,lightgbm,False,True,,13.18,4.28,0.325,3.72,4.48,3.88,4.67,False,False,0.6300000000000003,17.26027397260275,brand_series,丰田-雷凌,LightGBM,lightgbm,lightgbm,lightgbm,False,
15,curve,True,大众/速腾/2010款 1.4T 自动 豪华型,大众,速腾,大众-速腾,中,15.17,14.609,北京,1.13,1-3万,>10年,燃油,高里程,中间价,True,,14.88,0.77,0.0519,0.6,0.73,0.57,0.97,False,False,0.3599999999999999,31.85840707964601,brand_series,大众-速腾,Polynomial(segmented),curve,curve,curve,False,,lightgbm,False,True,,14.88,0.77,0.0515,0.59,0.73,0.57,0.97,False,False,0.3599999999999999,31.85840707964601,brand_series,大众-速腾,LightGBM,lightgbm,lightgbm,lightgbm,False,
16,curve,True,"中升车源
DS/DS6/2016款 1.6T 自动 豪华版THP160","中升车源
DS",DS6,"中升车源
DS-DS6",中,9.75,12.2493,合肥,2.0,1-3万,8-10年,燃油,高里程,中间价,False,无法预测：无适用模型且无相似车辆数据,0.0,,,,,,,False,False,,,,,,,,,False,,lightgbm,False,False,无法预测：无适用模型且无相似车辆数据,0.0,,,,,,,False,False,,,,,,,,,False,
17,curve,True,"中升车源
雪佛兰/科鲁兹三厢/2018款 1.5 自动 Redline320先锋版","中升车源
雪佛兰",科鲁兹三厢,"中升车源
雪佛兰-科鲁兹三厢",差,6.83,6.5056,淮安,3.0,3-5万,5-8年,燃油,低里程,中间价,False,无法预测：无适用模型且无相似车辆数据,0.0,,,,,,,False,False,,,,,,,,,False,,lightgbm,False,False,无法预测：无适用模型且无相似车辆数据,0.0,,,,,,,False,False,,,,,,,,,False,
18,curve,True,日产/天籁/2013款 2.0 自动 XL舒适版,日产,天籁,日产-天籁,中,11.75,18.2145,南通,2.53,1-3万,>10年,燃油,高里程,中间价,True,,17.78,2.35,0.1323,2.01,2.44,2.12,2.58,False,True,0.17999999999999972,7.114624505928843,brand_series,日产-天籁,Polynomial(segmented),curve,curve,curve,False,,lightgbm,False,True,,17.78,2.11,0.1187,1.79,2.19,1.9,2.31,False,False,0.41999999999999993,16.600790513833992,brand_series,日产-天籁,LightGBM,lightgbm,lightgbm,lightgbm,False,
19,curve,True,大众/宝来三厢/2013款 1.6 自动 时尚型,大众,宝来三厢,大众-宝来三厢,中,12.33,15.3206,张家口,1.52,1-3万,>10年,燃油,高里程,中间价,True,,11.93,1.39,0.1162,1.14,1.4,1.22,1.56,False,True,0.13000000000000012,8.552631578947375,car_type,轿车-紧凑型车-合资,Polynomial,curve,curve,curve,False,,lightgbm,False,True,,11.93,1.4,0.117,1.15,1.41,1.23,1.57,False,True,0.1200000000000001,7.89473684210527,car_type,轿车-紧凑型车-合资,LightGBM,lightgbm,lightgbm,lightgbm,False,
20,curve,True,马自达/马3昂克赛拉三厢/2017款 1.5 自动 豪华型 国VI,马自达,马3昂克赛拉三厢,马自达-马3昂克赛拉三厢,差,6.75,9.8587,成都,4.2,3-5万,5-8年,燃油,低里程,中间价,True,,19.98,5.37,0.2686,4.09,4.87,4.26,5.07,True,False,1.17,27.857142857142854,car_type,SUV-紧凑型车-合资,Polynomial,curve,curve,curve,False,,lightgbm,False,True,,19.98,4.96,0.248,3.77,4.49,3.92,4.68,True,True,0.7599999999999998,18.095238095238088,car_type,SUV-紧凑型车-合资,LightGBM,lightgbm,lightgbm,lightgbm,False,
