sample_idx,family_curve,allow_curve_fallback_curve,vehicle_name,brand,series,brand_series,grade,years,mileage_wan,city,actual_price,price_seg,age_seg,energy_type,mileage_bucket,price_extreme_bucket,success_curve,error_message_curve,new_price_curve,predicted_price_curve,residual_rate_curve,c2b_low_curve,c2b_high_curve,b2b_low_curve,b2b_high_curve,hit_c2b_curve,hit_b2b_curve,abs_error_curve,abs_pct_error_curve,debug_model_used_curve,debug_model_name_curve,debug_model_type_curve,debug_model_family_curve,debug_final_model_family_curve,debug_requested_model_family_curve,debug_fallback_triggered_curve,debug_fallback_reason_curve,family_lightgbm,allow_curve_fallback_lightgbm,success_lightgbm,error_message_lightgbm,new_price_lightgbm,predicted_price_lightgbm,residual_rate_lightgbm,c2b_low_lightgbm,c2b_high_lightgbm,b2b_low_lightgbm,b2b_high_lightgbm,hit_c2b_lightgbm,hit_b2b_lightgbm,abs_error_lightgbm,abs_pct_error_lightgbm,debug_model_used_lightgbm,debug_model_name_lightgbm,debug_model_type_lightgbm,debug_model_family_lightgbm,debug_final_model_family_lightgbm,debug_requested_model_family_lightgbm,debug_fallback_triggered_lightgbm,debug_fallback_reason_lightgbm
41,curve,True,广汽传祺/传祺GS3/2021款 1.5T 自动 POWER 270T劲享版,广汽传祺,传祺GS3,广汽传祺-传祺GS3,中,5.0,13.5452,南京,2.13,1-3万,5-8年,燃油,高里程,中间价,False,无法预测：无适用模型且无相似车辆数据,0.0,,,,,,,False,False,,,,,,,,,False,,lightgbm,False,False,无法预测：无适用模型且无相似车辆数据,0.0,,,,,,,False,False,,,,,,,,,False,
42,curve,True,名爵/MG ZS/2020款 1.5 手动 全球百万畅销款舒适版,名爵,MG ZS,名爵-MG ZS,优,6.33,7.5491,郑州,1.8,1-3万,5-8年,燃油,低里程,中间价,True,,13.98,3.27,0.2336,3.28,3.59,3.43,3.75,False,False,1.47,81.66666666666667,car_type,轿车-紧凑型车-国产,Exponential,curve,curve,curve,False,,lightgbm,False,True,,13.98,2.99,0.2141,3.0,3.29,3.02,3.5,False,False,1.1900000000000002,66.11111111111111,car_type,轿车-紧凑型车-国产,LightGBM,lightgbm,lightgbm,lightgbm,False,
43,curve,True,"中升车源
丰田/RAV4荣放/2023款 2.0L 自动 CVT两驱风尚plus版","中升车源
丰田",RAV4荣放,"中升车源
丰田-RAV4荣放",中,1.42,1.3542,上海,12.52,10-20万,0-3年,燃油,低里程,极端高价,False,无法预测：无适用模型且无相似车辆数据,0.0,,,,,,,False,False,,,,,,,,,False,,lightgbm,False,False,无法预测：无适用模型且无相似车辆数据,0.0,,,,,,,False,False,,,,,,,,,False,
44,curve,True,哈弗/哈弗H2/2014款 1.5T 手动 精英型前驱,哈弗,哈弗H2,哈弗-哈弗H2,中,11.08,9.2005,北京,1.03,1-3万,>10年,燃油,低里程,中间价,True,,13.68,1.22,0.0889,0.99,1.22,1.07,1.37,True,False,0.18999999999999995,18.446601941747566,car_type,SUV-紧凑型车-国产,Exponential,curve,curve,curve,False,,lightgbm,False,True,,13.68,1.04,0.0764,0.84,1.03,0.9,1.2,True,True,0.010000000000000009,0.9708737864077678,car_type,SUV-紧凑型车-国产,LightGBM,lightgbm,lightgbm,lightgbm,False,
45,curve,True,奔驰/GLC级/2020款 2.0T 自动 GLC300L 4MATIC豪华型,奔驰,GLC级,奔驰-GLC级,中,6.0,6.5424,上海,15.72,10-20万,5-8年,燃油,低里程,极端高价,True,,42.28,16.61,0.393,15.21,17.49,15.45,17.75,True,True,0.8899999999999988,5.661577608142486,brand_series,奔驰-GLC级,Exponential(segmented),curve,curve,curve,False,,lightgbm,False,True,,42.28,17.13,0.4051,15.74,18.09,15.93,18.29,False,False,1.4099999999999984,8.96946564885495,brand_series,奔驰-GLC级,LightGBM,lightgbm,lightgbm,lightgbm,False,
46,curve,True,大众/途观L/2017款 1.8T 自动 330TSI豪华版前驱,大众,途观L,大众-途观L,中,8.5,12.0548,石家庄,6.0,5-10万,8-10年,燃油,高里程,中间价,True,,23.49,5.19,0.2208,4.53,5.41,4.71,5.64,False,False,0.8099999999999996,13.499999999999993,car_type,轿车-中型车-合资,Polynomial,curve,curve,curve,False,,lightgbm,False,True,,23.49,4.96,0.211,4.32,5.18,4.5,5.39,False,False,1.04,17.333333333333336,car_type,轿车-中型车-合资,LightGBM,lightgbm,lightgbm,lightgbm,False,
47,curve,True,丰田/奕泽E进擎/2020款 E·智享版 纯电动,丰田,奕泽E进擎,丰田-奕泽E进擎,中,4.92,12.9198,杭州,5.08,5-10万,3-5年,新能源,高里程,中间价,True,,20.38,7.97,0.3911,7.01,8.27,7.3,8.61,False,False,2.8899999999999997,56.88976377952755,car_type,SUV-紧凑型车-合资,Polynomial,curve,curve,curve,False,,lightgbm,False,True,,20.38,6.13,0.3009,5.37,6.39,5.59,6.65,False,False,1.0499999999999998,20.669291338582674,car_type,SUV-紧凑型车-合资,LightGBM,lightgbm,lightgbm,lightgbm,False,
48,curve,True,"中升车源
别克/凯越/2015款 1.5 自动 经典型","中升车源
别克",凯越,"中升车源
别克-凯越",优,10.0,6.8741,深圳,0.7,<1万,>10年,燃油,低里程,极端低价,False,无法预测：无适用模型且无相似车辆数据,0.0,,,,,,,False,False,,,,,,,,,False,,lightgbm,False,False,无法预测：无适用模型且无相似车辆数据,0.0,,,,,,,False,False,,,,,,,,,False,
49,curve,True,本田/雅阁/2018款 1.5T 自动 260TURBO精英版 国VI,本田,雅阁,本田-雅阁,中,6.5,18.758,济南,7.24,5-10万,5-8年,燃油,高里程,中间价,True,,18.98,7.46,0.393,6.56,7.74,6.83,8.06,True,True,0.21999999999999975,3.0386740331491677,brand_series,本田-雅阁,Exponential(segmented),curve,curve,curve,False,,lightgbm,False,True,,18.98,7.46,0.3932,6.56,7.75,6.83,8.07,True,True,0.21999999999999975,3.0386740331491677,brand_series,本田-雅阁,LightGBM,lightgbm,lightgbm,lightgbm,False,
50,curve,True,本田/思域/2019款 1.5T 自动 220TURBO劲擎版 国VI,本田,思域,本田-思域,中,6.25,10.2353,金华,4.3,3-5万,5-8年,燃油,低里程,中间价,True,,15.59,5.75,0.3687,5.03,5.99,5.23,6.24,False,False,1.4500000000000002,33.720930232558146,brand_series,本田-思域,Exponential(segmented),curve,curve,curve,False,,lightgbm,False,True,,15.59,5.98,0.3833,5.23,6.23,5.44,6.48,False,False,1.6800000000000006,39.06976744186048,brand_series,本田-思域,LightGBM,lightgbm,lightgbm,lightgbm,False,
51,curve,True,"中升车源
本田/缤智/2017款 1.8 自动 精英型前驱","中升车源
本田",缤智,"中升车源
本田-缤智",中,7.58,9.6133,深圳,4.6,3-5万,5-8年,燃油,低里程,中间价,False,无法预测：无适用模型且无相似车辆数据,0.0,,,,,,,False,False,,,,,,,,,False,,lightgbm,False,False,无法预测：无适用模型且无相似车辆数据,0.0,,,,,,,False,False,,,,,,,,,False,
52,curve,True,"中升车源
本田/思域/2016款 1.5T 自动 220TURBO豪华版","中升车源
本田",思域,"中升车源
本田-思域",中,9.33,10.2463,温州,4.39,3-5万,8-10年,燃油,低里程,中间价,False,无法预测：无适用模型且无相似车辆数据,0.0,,,,,,,False,False,,,,,,,,,False,,lightgbm,False,False,无法预测：无适用模型且无相似车辆数据,0.0,,,,,,,False,False,,,,,,,,,False,
53,curve,True,大众/宝来三厢/2014款 1.4T 自动 舒适型,大众,宝来三厢,大众-宝来三厢,中,10.83,8.5353,深圳,1.79,1-3万,>10年,燃油,低里程,中间价,True,,15.49,2.35,0.1518,2.01,2.44,2.12,2.58,False,False,0.56,31.28491620111732,car_type,轿车-紧凑型车-合资,Polynomial,curve,curve,curve,False,,lightgbm,False,True,,15.49,2.11,0.1362,1.79,2.19,1.9,2.31,True,False,0.31999999999999984,17.877094972067027,car_type,轿车-紧凑型车-合资,LightGBM,lightgbm,lightgbm,lightgbm,False,
54,curve,True,大众/朗逸/2008款 1.6 手动 品雅版,大众,朗逸,大众-朗逸,中,15.83,13.2748,天津,0.69,<1万,>10年,燃油,高里程,极端低价,True,,12.28,0.43,0.0351,0.29,0.36,0.23,0.63,False,False,0.25999999999999995,37.68115942028985,brand_series,大众-朗逸,Polynomial(segmented),curve,curve,curve,False,,lightgbm,False,True,,12.28,0.66,0.0534,0.49,0.61,0.46,0.86,False,True,0.029999999999999916,4.34782608695651,brand_series,大众-朗逸,LightGBM,lightgbm,lightgbm,lightgbm,False,
55,curve,True,雪佛兰/赛欧三厢/2013款 1.2 手动 时尚版,雪佛兰,赛欧三厢,雪佛兰-赛欧三厢,差,12.42,13.6465,天津,0.53,<1万,>10年,燃油,高里程,极端低价,True,,5.94,0.55,0.0928,0.34,0.41,0.28,0.68,False,True,0.020000000000000018,3.7735849056603805,car_type,轿车-小型车-合资,Polynomial,curve,curve,curve,False,,lightgbm,False,True,,5.94,0.53,0.0896,0.32,0.4,0.26,0.66,False,True,0.0,0.0,car_type,轿车-小型车-合资,LightGBM,lightgbm,lightgbm,lightgbm,False,
56,curve,True,大众/高尔夫/2012款 1.6 手动 舒适型,大众,高尔夫,大众-高尔夫,优,12.58,9.6233,苏州,1.98,1-3万,>10年,燃油,低里程,中间价,True,,12.68,1.74,0.1375,1.72,1.88,1.7,2.12,False,True,0.24,12.121212121212121,brand_series,大众-高尔夫,Exponential(segmented),curve,curve,curve,False,,lightgbm,False,True,,12.68,1.16,0.0911,1.1,1.21,1.12,1.42,False,False,0.8200000000000001,41.41414141414142,brand_series,大众-高尔夫,LightGBM,lightgbm,lightgbm,lightgbm,False,
57,curve,True,"中升车源
东风风行/菱智/2015款 1.6 手动 M3豪华型7座","中升车源
东风风行",菱智,"中升车源
东风风行-菱智",差,11.25,9.4586,惠州,0.37,<1万,>10年,燃油,低里程,极端低价,False,无法预测：无适用模型且无相似车辆数据,0.0,,,,,,,False,False,,,,,,,,,False,,lightgbm,False,False,无法预测：无适用模型且无相似车辆数据,0.0,,,,,,,False,False,,,,,,,,,False,
58,curve,True,"中升车源
丰田/凯美瑞/2009款 2.4 自动 240G豪华型","中升车源
丰田",凯美瑞,"中升车源
丰田-凯美瑞",中,16.5,18.7634,深圳,1.96,1-3万,>10年,燃油,高里程,中间价,False,无法预测：无适用模型且无相似车辆数据,0.0,,,,,,,False,False,,,,,,,,,False,,lightgbm,False,False,无法预测：无适用模型且无相似车辆数据,0.0,,,,,,,False,False,,,,,,,,,False,
59,curve,True,比亚迪/宋PLUS新能源/2025款 DM-i 智驾版 1.5L 自动 112KM 尊贵型,比亚迪,宋PLUS新能源,比亚迪-宋PLUS新能源,优,0.17,0.0443,秦皇岛,9.35,5-10万,0-3年,新能源,低里程,中间价,True,,17.58,10.01,0.5692,10.06,10.85,10.46,11.28,False,False,0.6600000000000001,7.058823529411766,car_type,SUV-紧凑型车-国产,Exponential,curve,curve,curve,False,,lightgbm,False,True,,17.58,9.66,0.5494,9.71,10.47,10.09,10.89,False,False,0.3100000000000005,3.31550802139038,car_type,SUV-紧凑型车-国产,LightGBM,lightgbm,lightgbm,lightgbm,False,
60,curve,True,名爵/MG6新能源/2019款 1.5T 自动 50T Pro 混动,名爵,MG6新能源,名爵-MG6新能源,中,6.08,6.9629,上海,2.84,1-3万,5-8年,新能源,低里程,中间价,True,,13.98,3.48,0.2491,3.01,3.64,3.15,3.8,False,False,0.6400000000000001,22.53521126760564,car_type,轿车-紧凑型车-国产,Exponential,curve,curve,curve,False,,lightgbm,False,True,,13.98,3.0,0.2143,2.58,3.13,2.7,3.28,True,True,0.16000000000000014,5.633802816901413,car_type,轿车-紧凑型车-国产,LightGBM,lightgbm,lightgbm,lightgbm,False,
61,curve,True,哪吒汽车/哪吒V/2022款 潮 300 Lite 磷酸铁锂,哪吒汽车,哪吒V,哪吒汽车-哪吒V,中,3.5,7.7969,金华,2.61,1-3万,3-5年,燃油,低里程,中间价,False,无法预测：无适用模型且无相似车辆数据,0.0,,,,,,,False,False,,,,,,,,,False,,lightgbm,False,False,无法预测：无适用模型且无相似车辆数据,0.0,,,,,,,False,False,,,,,,,,,False,
62,curve,True,丰田/雷凌/2019款 1.2T 自动 185T豪华版 国VI,丰田,雷凌,丰田-雷凌,中,6.42,2.3143,广州,4.7,3-5万,5-8年,燃油,低里程,中间价,True,,13.98,4.2,0.3004,3.65,4.39,3.8,4.58,False,False,0.5,10.638297872340425,brand_series,丰田-雷凌,Power(segmented),curve,curve,curve,False,,lightgbm,False,True,,13.98,4.07,0.2914,3.54,4.26,3.69,4.44,False,False,0.6299999999999999,13.404255319148934,brand_series,丰田-雷凌,LightGBM,lightgbm,lightgbm,lightgbm,False,
63,curve,True,奥迪/A4L/2013款 2.0T 自动 35TFSI标准型,奥迪,A4L,奥迪-A4L,差,12.33,12.3721,长春,3.02,3-5万,>10年,燃油,高里程,中间价,True,,32.99,3.52,0.1066,2.64,3.17,2.75,3.31,True,True,0.5,16.55629139072848,car_type,轿车-中型车-合资,Polynomial,curve,curve,curve,False,,lightgbm,False,True,,32.99,3.16,0.0958,2.36,2.84,2.47,2.97,False,False,0.14000000000000012,4.635761589403978,car_type,轿车-中型车-合资,LightGBM,lightgbm,lightgbm,lightgbm,False,
64,curve,True,"中升车源
哈弗/哈弗H6/2019款 1.5T 自动 运动版精英型前驱 国VI","中升车源
哈弗",哈弗H6,"中升车源
哈弗-哈弗H6",中,5.83,6.236,遵义,3.0,3-5万,5-8年,燃油,低里程,中间价,False,无法预测：无适用模型且无相似车辆数据,0.0,,,,,,,False,False,,,,,,,,,False,,lightgbm,False,False,无法预测：无适用模型且无相似车辆数据,0.0,,,,,,,False,False,,,,,,,,,False,
65,curve,True,"中升车源
长安/逸动/2020款 1.6 自动 PLUS豪华型","中升车源
长安",逸动,"中升车源
长安-逸动",中,5.75,6.9374,南京,2.16,1-3万,5-8年,燃油,低里程,中间价,False,无法预测：无适用模型且无相似车辆数据,0.0,,,,,,,False,False,,,,,,,,,False,,lightgbm,False,False,无法预测：无适用模型且无相似车辆数据,0.0,,,,,,,False,False,,,,,,,,,False,
66,curve,True,宝马/3系/2012款 2.0 自动 320i时尚型,宝马,3系,宝马-3系,中,14.0,13.4401,金华,1.3,1-3万,>10年,燃油,高里程,中间价,True,,28.2,1.62,0.0573,1.35,1.65,1.43,1.81,False,False,0.32000000000000006,24.61538461538462,brand_series,宝马-3系,Polynomial(segmented),curve,curve,curve,False,,lightgbm,False,True,,28.2,1.67,0.0594,1.4,1.72,1.47,1.87,False,False,0.3699999999999999,28.46153846153845,brand_series,宝马-3系,LightGBM,lightgbm,lightgbm,lightgbm,False,
67,curve,True,吉利汽车/帝豪三厢/2015款 1.3T 自动 向上版,吉利汽车,帝豪三厢,吉利汽车-帝豪三厢,差,10.08,16.7084,惠州,0.48,<1万,>10年,燃油,高里程,极端低价,False,无法预测：无适用模型且无相似车辆数据,0.0,,,,,,,False,False,,,,,,,,,False,,lightgbm,False,False,无法预测：无适用模型且无相似车辆数据,0.0,,,,,,,False,False,,,,,,,,,False,
68,curve,True,"中升车源
比亚迪/S7/2015款 2.0T 自动 升级版尊贵型","中升车源
比亚迪",S7,"中升车源
比亚迪-S7",差,10.08,3.4242,徐州,1.32,1-3万,>10年,燃油,低里程,中间价,False,无法预测：无适用模型且无相似车辆数据,0.0,,,,,,,False,False,,,,,,,,,False,,lightgbm,False,False,无法预测：无适用模型且无相似车辆数据,0.0,,,,,,,False,False,,,,,,,,,False,
69,curve,True,长城/金刚炮/2024款 2.0T自动8AT柴油四驱领航型平箱,长城,金刚炮,长城-金刚炮,中,1.83,1.6166,荆门,8.22,5-10万,0-3年,燃油,低里程,中间价,True,,6.89,2.87,0.417,2.47,3.0,2.59,3.14,False,False,5.3500000000000005,65.08515815085158,car_type,轿车-紧凑型车-国产,Exponential,curve,curve,curve,False,,lightgbm,False,True,,6.89,3.8,0.5516,3.3,3.97,3.44,4.15,False,False,4.420000000000001,53.771289537712896,car_type,轿车-紧凑型车-国产,LightGBM,lightgbm,lightgbm,lightgbm,False,
70,curve,True,大众/帕萨特/2011款 1.8T 自动 DSG尊荣版,大众,帕萨特,大众-帕萨特,优,13.42,15.1399,北京,0.52,<1万,>10年,燃油,高里程,极端低价,True,,21.58,1.67,0.0774,1.64,1.8,1.63,2.03,False,False,1.15,221.15384615384613,brand_series,大众-帕萨特,Polynomial(segmented),curve,curve,curve,False,,lightgbm,False,True,,21.58,1.82,0.0843,1.79,1.97,1.77,2.21,False,False,1.3,250.0,brand_series,大众-帕萨特,LightGBM,lightgbm,lightgbm,lightgbm,False,
71,curve,True,丰田/汉兰达/2017款 2.0T 自动 豪华版7座四驱,丰田,汉兰达,丰田-汉兰达,差,8.0,13.4561,长春,10.36,10-20万,8-10年,燃油,高里程,极端高价,True,,29.78,9.44,0.317,7.38,8.64,7.68,8.98,False,False,0.9199999999999999,8.880308880308881,brand_series,丰田-汉兰达,Polynomial(segmented),curve,curve,curve,False,,lightgbm,False,True,,29.78,10.07,0.3381,7.9,9.23,8.22,9.59,False,False,0.28999999999999915,2.799227799227791,brand_series,丰田-汉兰达,LightGBM,lightgbm,lightgbm,lightgbm,False,
72,curve,True,奔驰/M级/2015款 3.0T 自动 400豪华型 (进口),奔驰,M级,奔驰-M级,中,10.67,17.5335,惠州,8.47,5-10万,>10年,燃油,高里程,中间价,True,,59.8,6.97,0.1166,6.12,7.25,6.37,7.55,False,False,1.5000000000000009,17.709563164108626,car_type,轿车-中大型车-合资,Polynomial,curve,curve,curve,False,,lightgbm,False,True,,59.8,4.42,0.0739,3.85,4.62,4.01,4.81,False,False,4.050000000000001,47.815820543093274,car_type,轿车-中大型车-合资,LightGBM,lightgbm,lightgbm,lightgbm,False,
73,curve,True,大众/捷达/2012款 1.6 手动 GIF前卫,大众,捷达,大众-捷达,中,13.08,9.4362,呼和浩特,0.35,<1万,>10年,燃油,低里程,极端低价,True,,8.08,0.6,0.0741,0.44,0.54,0.4,0.8,False,False,0.25,71.42857142857143,brand_series,大众-捷达,Polynomial(segmented),curve,curve,curve,False,,lightgbm,False,True,,8.08,0.64,0.0788,0.47,0.58,0.44,0.84,False,False,0.29000000000000004,82.85714285714288,brand_series,大众-捷达,LightGBM,lightgbm,lightgbm,lightgbm,False,
74,curve,True,长城/C50/2014款 1.5T 手动 升级版时尚型,长城,C50,长城-C50,差,11.17,19.469,宁波,0.39,<1万,>10年,燃油,高里程,极端低价,True,,6.49,1.0,0.1537,0.68,0.83,0.67,1.07,False,False,0.61,156.4102564102564,car_type,SUV-小型车-国产,Polynomial,curve,curve,curve,False,,lightgbm,False,True,,6.49,0.88,0.1361,0.59,0.73,0.57,0.97,False,False,0.49,125.64102564102564,car_type,SUV-小型车-国产,LightGBM,lightgbm,lightgbm,lightgbm,False,
75,curve,True,本田/杰德/2014款 1.8 自动 舒适精英版5座,本田,杰德,本田-杰德,中,10.5,15.796,深圳,3.09,3-5万,>10年,燃油,高里程,中间价,True,,15.78,3.57,0.2262,3.09,3.73,3.23,3.9,True,False,0.48,15.533980582524274,brand_series,本田-杰德,Polynomial(segmented),curve,curve,curve,False,,lightgbm,False,True,,15.78,3.55,0.2249,3.07,3.71,3.21,3.87,True,False,0.45999999999999996,14.886731391585762,brand_series,本田-杰德,LightGBM,lightgbm,lightgbm,lightgbm,False,
76,curve,True,日产/楼兰/2021款 2.5L 自动 XE 两驱精英版,日产,楼兰,日产-楼兰,优,2.75,6.7778,湛江,8.5,5-10万,0-3年,燃油,低里程,中间价,True,,27.13,12.69,0.4677,12.82,13.77,13.24,14.23,False,False,4.1899999999999995,49.29411764705882,car_type,SUV-中型车-合资,Polynomial,curve,curve,curve,False,,lightgbm,False,True,,27.13,11.48,0.4232,11.56,12.44,11.99,12.9,False,False,2.9800000000000004,35.05882352941177,car_type,SUV-中型车-合资,LightGBM,lightgbm,lightgbm,lightgbm,False,
77,curve,True,别克/英朗三厢/2019款 1.3T 自动 18T互联精英型 国VI,别克,英朗三厢,别克-英朗三厢,中,7.0,11.1779,上海,2.15,1-3万,5-8年,燃油,高里程,中间价,True,,13.69,3.37,0.2463,2.92,3.53,3.05,3.68,False,False,1.2200000000000002,56.744186046511636,car_type,轿车-紧凑型车-合资,Polynomial,curve,curve,curve,False,,lightgbm,False,True,,13.69,3.25,0.2373,2.81,3.4,2.93,3.55,False,False,1.1,51.162790697674424,car_type,轿车-紧凑型车-合资,LightGBM,lightgbm,lightgbm,lightgbm,False,
78,curve,True,"中升车源
本田/雅阁/2008款 2.0 自动 EX","中升车源
本田",雅阁,"中升车源
本田-雅阁",中,17.17,11.0284,杭州,1.65,1-3万,>10年,燃油,高里程,中间价,False,无法预测：无适用模型且无相似车辆数据,0.0,,,,,,,False,False,,,,,,,,,False,,lightgbm,False,False,无法预测：无适用模型且无相似车辆数据,0.0,,,,,,,False,False,,,,,,,,,False,
79,curve,True,奔驰/S级/2016款 3.0T 自动 S320L豪华型 (进口),奔驰,S级,奔驰-S级,优,9.5,16.2039,盐城,25.6,>20万,8-10年,燃油,高里程,极端高价,True,,48.6,7.76,0.1597,7.8,8.44,8.12,8.79,False,False,17.840000000000003,69.68750000000001,car_type,SUV-中型车-合资,Polynomial,curve,curve,curve,False,,lightgbm,False,True,,48.6,5.8,0.1193,5.83,6.34,6.07,6.6,False,False,19.8,77.34375,car_type,SUV-中型车-合资,LightGBM,lightgbm,lightgbm,lightgbm,False,
80,curve,True,大众/迈腾/2016款 1.8T 自动 智享舒适型,大众,迈腾,大众-迈腾,中,9.83,10.9125,盐城,4.4,3-5万,8-10年,燃油,高里程,中间价,True,,21.28,4.0,0.188,3.47,4.18,3.62,4.36,False,False,0.40000000000000036,9.090909090909099,brand_series,大众-迈腾,Exponential(segmented),curve,curve,curve,False,,lightgbm,False,True,,21.28,3.56,0.1673,3.08,3.72,3.22,3.89,False,False,0.8400000000000003,19.090909090909097,brand_series,大众-迈腾,LightGBM,lightgbm,lightgbm,lightgbm,False,
81,curve,True,福特/锐界/2018款 2.0T 自动 245尊锐型7座四驱,福特,锐界,福特-锐界,中,8.08,39.2596,北京,4.82,3-5万,8-10年,燃油,高里程,中间价,True,,33.98,6.37,0.1874,5.58,6.63,5.81,6.9,False,False,1.5499999999999998,32.15767634854772,brand_series,福特-锐界,Power(segmented),curve,curve,curve,False,,lightgbm,False,True,,33.98,5.17,0.152,4.51,5.39,4.7,5.61,True,True,0.34999999999999964,7.261410788381735,brand_series,福特-锐界,LightGBM,lightgbm,lightgbm,lightgbm,False,
82,curve,True,标致/2008/2014款 1.6 手动 潮流版,标致,2008,标致-2008,差,8.08,6.4995,芜湖,1.06,1-3万,8-10年,燃油,低里程,中间价,True,,8.97,1.19,0.1323,0.83,1.01,0.89,1.19,False,True,0.1299999999999999,12.264150943396215,brand_series,标致-2008,Exponential(segmented),curve,curve,curve,False,,lightgbm,False,True,,8.97,1.37,0.1525,0.97,1.18,1.03,1.35,True,True,0.31000000000000005,29.24528301886793,brand_series,标致-2008,LightGBM,lightgbm,lightgbm,lightgbm,False,
83,curve,True,马自达/马自达CX-4/2016款 2.0 自动 蓝天活力版前驱,马自达,马自达CX-4,马自达-马自达CX-4,中,9.5,19.8088,东莞,3.25,3-5万,8-10年,燃油,高里程,中间价,True,,15.28,2.78,0.1821,2.39,2.9,2.51,3.04,False,False,0.4700000000000002,14.461538461538467,car_type,SUV-紧凑型车-合资,Polynomial,curve,curve,curve,False,,lightgbm,False,True,,15.28,2.34,0.1532,2.0,2.43,2.11,2.57,False,False,0.9100000000000001,28.000000000000004,car_type,SUV-紧凑型车-合资,LightGBM,lightgbm,lightgbm,lightgbm,False,
84,curve,True,大众/一汽-大众CC/2011款 2.0T 自动 豪华型,大众,一汽-大众CC,大众-一汽-大众CC,差,13.83,14.4921,广州,1.71,1-3万,>10年,燃油,高里程,中间价,True,,27.88,2.16,0.0773,1.58,1.91,1.67,2.06,True,True,0.4500000000000002,26.31578947368422,car_type,轿车-中型车-合资,Polynomial,curve,curve,curve,False,,lightgbm,False,True,,27.88,1.74,0.0624,1.25,1.53,1.31,1.73,False,True,0.030000000000000027,1.7543859649122824,car_type,轿车-中型车-合资,LightGBM,lightgbm,lightgbm,lightgbm,False,
85,curve,True,长安/CS55/2017款 1.5T 手动 炫色型,长安,CS55,长安-CS55,差,7.75,5.018,广州,1.92,1-3万,5-8年,燃油,低里程,中间价,True,,9.99,2.19,0.2197,1.61,1.95,1.7,2.1,True,True,0.27,14.062500000000004,brand_series,长安-CS55,Power(segmented),curve,curve,curve,False,,lightgbm,False,True,,9.99,1.99,0.1997,1.45,1.76,1.51,1.99,False,True,0.07000000000000006,3.645833333333337,brand_series,长安-CS55,LightGBM,lightgbm,lightgbm,lightgbm,False,
86,curve,True,奥迪/Q5L/2018款 2.0T 自动 45TFSI尊享时尚型 国V,奥迪,Q5L,奥迪-Q5L,优,6.25,5.2034,南京,14.2,10-20万,5-8年,燃油,低里程,极端高价,True,,42.37,12.28,0.2899,12.4,13.32,12.83,13.79,False,False,1.92,13.521126760563382,car_type,SUV-中型车-合资,Polynomial,curve,curve,curve,False,,lightgbm,False,True,,42.37,11.6,0.2738,11.69,12.57,12.12,13.04,False,False,2.5999999999999996,18.309859154929576,car_type,SUV-中型车-合资,LightGBM,lightgbm,lightgbm,lightgbm,False,
87,curve,True,大众/一汽-大众CC/2013款 1.8T 自动 尊贵型,大众,一汽-大众CC,大众-一汽-大众CC,中,12.42,18.3161,温州,2.6,1-3万,>10年,燃油,高里程,中间价,True,,21.98,2.23,0.1014,1.9,2.31,2.0,2.44,False,False,0.3700000000000001,14.230769230769235,car_type,轿车-中型车-合资,Polynomial,curve,curve,curve,False,,lightgbm,False,True,,21.98,1.97,0.0898,1.67,2.04,1.73,2.21,False,False,0.6300000000000001,24.230769230769234,car_type,轿车-中型车-合资,LightGBM,lightgbm,lightgbm,lightgbm,False,
88,curve,True,威马汽车/威马EX5/2020款 EX5 400 即客行版,威马汽车,威马EX5,威马汽车-威马EX5,中,4.75,10.5958,临沂,2.6,1-3万,3-5年,燃油,高里程,中间价,False,无法预测：无适用模型且无相似车辆数据,0.0,,,,,,,False,False,,,,,,,,,False,,lightgbm,False,False,无法预测：无适用模型且无相似车辆数据,0.0,,,,,,,False,False,,,,,,,,,False,
89,curve,True,丰田/致炫/2014款 1.5 自动 G炫动版,丰田,致炫,丰田-致炫,中,12.0,18.5058,西安,1.66,1-3万,>10年,燃油,高里程,中间价,True,,9.58,1.11,0.1162,0.9,1.11,0.96,1.26,False,False,0.5499999999999998,33.13253012048192,car_type,轿车-小型车-合资,Polynomial,curve,curve,curve,False,,lightgbm,False,True,,9.58,1.04,0.1085,0.83,1.03,0.89,1.19,False,False,0.6199999999999999,37.34939759036144,car_type,轿车-小型车-合资,LightGBM,lightgbm,lightgbm,lightgbm,False,
90,curve,True,奇瑞/瑞虎7/2020款 1.5T 手动 精英型,奇瑞,瑞虎7,奇瑞-瑞虎7,中,5.17,3.938,西安,3.25,3-5万,5-8年,燃油,低里程,中间价,True,,9.99,2.7,0.2701,2.32,2.81,2.43,2.95,False,False,0.5499999999999998,16.92307692307692,car_type,SUV-中型车-国产,Exponential,curve,curve,curve,False,,lightgbm,False,True,,9.99,2.8,0.2806,2.41,2.92,2.53,3.07,False,False,0.4500000000000002,13.846153846153852,car_type,SUV-中型车-国产,LightGBM,lightgbm,lightgbm,lightgbm,False,
91,curve,True,"中升车源
奔驰/GLA级/2019款 1.6T 自动 GLA200动感型前驱","中升车源
奔驰",GLA级,"中升车源
奔驰-GLA级",优,6.17,3.3955,遵义,8.3,5-10万,5-8年,燃油,低里程,中间价,False,无法预测：无适用模型且无相似车辆数据,0.0,,,,,,,False,False,,,,,,,,,False,,lightgbm,False,False,无法预测：无适用模型且无相似车辆数据,0.0,,,,,,,False,False,,,,,,,,,False,
